google/gsoc2012/danielrizea/26001,Daniel Rizea,Create Android client(s) for Evergreen,Evergreen
google/gsoc2012/djuber/20001,Daniel Uber,SciSmalltalk,ESUG (European Smalltalk User Group)
google/gsoc2012/dewyatt/63002,Daniel Wyatt,bnx2 driver,iPXE
google/gsoc2012/danjgates/28001,DanielGates,Optimizing R code for approximate bayesian computing,National Evolutionary Synthesis Center
google/gsoc2012/dariog/8001,dario,Spatial and Temporal Reasoning,OpenCog Foundation
google/gsoc2012/sigsalerno/12001,Dario Salerno,DNS Management App for wireless communities,Ninux.org
google/gsoc2012/dark_master/14002,dark_master,CpuDxe MP support,Tianocore
google/gsoc2012/davidbrazdil/27001,David Brazdil,Dimensional Analysis of Physical Units,The Java Pathfinder Team
google/gsoc2012/davidczech/5001,David Czech,Soy Client for Android,Python Software Foundation
google/gsoc2012/dheineck/9001,David Heineck,State Space Search Optimizer for Electronic Design Automation,Portland State University
google/gsoc2012/dvdhrm/34002,David Herrmann,KMSCON: A DRM based terminal emulator,The Linux Foundation
google/gsoc2012/david_0xffea/12001,David Höppner,Datagram Congestion Control Protocol (DCCP),illumos
google/gsoc2012/davids/17001,David J. H. Shih,Porting HOPACH cluster algorithm into clusterMaker,National Resource for Network Biology (NRNB)
google/gsoc2012/h4wk_cz/24001,David Marek,[scikit-learn] Multilayer Perceptron,Python Software Foundation
google/gsoc2012/biohack/3001,David Ng,Linux Game Distribution,FOSSASIA
google/gsoc2012/davidpinheiro/10001,David Pinheiro,Solver for the TSP and VRP for gvSIG Desktop,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/bettio/34014,Davide Bettio,Port Plasma Calendar and other widgets to QML,KDE
google/gsoc2012/dav_it/9001,Davide Italiano,Re-enginer the wheel: a rejuvenation of BSD callout(9) and timer facilities,FreeBSD
google/gsoc2012/davidlohr/34001,Davidlohr,Redesign fdisk to be more extensible and implement GPT support,openSUSE
google/gsoc2012/davorb/12001,Davor Babic,JRuby GUI library / Shoes on JRuby,The JRuby Project
google/gsoc2012/djiao/26002,Dazhi Jiao,Cytoscape Plugin for importing cancer genomic data and drug-target interaction data from cBio Cancer Genomic Portal,National Resource for Network Biology (NRNB)
google/gsoc2012/datta_debajyoti/52002,Debajyoti,Donate Now Campaign,Connexions
google/gsoc2012/deepaganu/9001,deepaganu,CDA-based Clinical Patient Summary Import and Export,OpenMRS
google/gsoc2012/deepak_agg/40002,Deepak,Tux4math games for Android and iOS ,Tux4Kids
google/gsoc2012/dpacmittal/44002,Deepak Mittal,Inter-ownCloud Instance Collaboration ,KDE
google/gsoc2012/calcacuervo/16001,Demian Calcaprina,Implement human task as a process in jBPM5,JBoss Community
google/gsoc2012/a007_weiy/10001,Deng Hengyi,Atomic Operations for RTEMS,RTEMS Project
google/gsoc2012/dzrongg/13001,Deng Zhengrong,Enhance Logging and Testing Facilities in PulseAudio,PulseAudio
google/gsoc2012/evdenis/11001,Denis,Formalization of Correct Usage of Kernel Core API,The Linux Foundation
google/gsoc2012/kruskod/11001,Denis Krusko,Replace old graphs in RHQ with GWT ones,JBoss Community
google/gsoc2012/denisw/23002,Denis Washington,PubSub HTTP Interface for buddycloud,XMPP Standards Foundation
google/gsoc2012/twitch153/24001,Devan Franchini,SELinux Policy Originator,Gentoo Foundation
google/gsoc2012/devashishiitd/17002,devashish,Extend Combinatorial maps and Linear cell complex packages,CGAL - Computational Geometry Algorithms Library 
google/gsoc2012/dfighter1985/22003,dfighter,[Ryzom Core] Ryzom GUI Editor,WorldForge
google/gsoc2012/dhananjaysathe/54002,Dhananjay Sathe,Samba Control Center - New Domain Management Utility and Gtk3 Compatibility Upgrade  for Samba-Gtk ,Samba
google/gsoc2012/dhruvbaldawa/60002,Dhruv Baldawa,Materialization Plugin for Views,Drupal
google/gsoc2012/dhruvgoel92/11001,Dhruv Goel,Search Backend Refactoring,phpBB Forum Software
google/gsoc2012/dhruva_tb/29002,Dhruva,Geant 4 on GPUs,CERN SFT
google/gsoc2012/dianaprajescu/43001,Diana Prajescu,Social Package,Joomla!
google/gsoc2012/jimis/37002,Dimitrios Apostolou,Continue work on GCC generic optimisation and cleanup,GCC - GNU Compiler Collection
google/gsoc2012/d9891/27001,Dirk,Topical Classification,DBpedia Spotlight
google/gsoc2012/ddwijewardana/13001,Dishara,Provide JSR 223 implementation for Velocity,Apache Software Foundation
google/gsoc2012/divyanshu/34002,Divyanshu Bandil,Extension of Linear to Non Linear Models in Statsmodels Python module,Python Software Foundation
google/gsoc2012/dizhizhou/21001,Dizhi Zhou, LTE Scheduling with the FemtoForum MAC Scheduler API Proposal,The ns-3 Network Simulator Project
google/gsoc2012/dmcgill/18001,DMcGill,Scoutess - a build manager for cabal projects,haskell.org
google/gsoc2012/ghostmansd/16001,Dmitriy Selyutin,Reimplement gnulib-tool in Python,GNU Project
google/gsoc2012/kabbi/35001,Dmitry Kabak,Source Code Documentation Commets,SWIG
google/gsoc2012/dimon4ik/8001,Dmitry Krivenko,Logging Errors to the Database,OpenMRS
google/gsoc2012/dolsh/31002,Dmitry Olshansky,Extended unicode support,Digital Mars
google/gsoc2012/samarkanov/10001,Dmitry Samarkanov,An automated electronic lab notebook for reproducible computational research,International Neuroinformatics Coordinating Facility
google/gsoc2012/brantner/11001,Dmitry Zamula,"Implementing module to creating document thumbnail, displayed on the whiteboard, without using OpenOffice.org, as mandatory dependency. Project Apache OpenMeetings",Apache Software Foundation
google/gsoc2012/dodev/20002,Dodev,WebKit-based HTML editor for MonoDevelop,Mono Project
google/gsoc2012/dodonvictor/31002,Dodon Victor,Porting KIPI-Plugins and Libkipi to KDE XML-GUI,KDE
google/gsoc2012/ielectric/5001,Domen Kožar,Autogenerate Colander schema from SQLAlchemy metadata,Python Software Foundation
google/gsoc2012/domiii/15001,Domi,Improved physics in Crystal Space with bullet,Crystal Space
google/gsoc2012/dominikkreil/3001,Dominik,Porting CAS View to GWT,International GeoGebra Institute
google/gsoc2012/dominik/4001,Dominik Moritz,Professors on PopIt,mySociety
google/gsoc2012/qqldd/16002,Dongdong Li,GPU for fast hashes,Openwall
google/gsoc2012/qballer/13001,Doron Tsur,It's a blobby blob world - BlobStore Client.,Apache Software Foundation
google/gsoc2012/doshitan/18001,doshitan,Smarter Searching in GNOME Shell,GNOME
google/gsoc2012/dincadragosh/5001,Dragos Dinca,Project M1 - Meta-Metadata C# Porting,Interface Ecology Lab @ Texas A&M University
google/gsoc2012/dcrodman/33002,Drew Rodman,New Invitation/Request Module,Melange
google/gsoc2012/dsichau/23001,dsichau,Parallelization of the Multiple Interacting Instances of Neuronal Dynamics software.,International Neuroinformatics Coordinating Facility
google/gsoc2012/dulini88/18001,Dulini Atapattu,Message Queue component for Nuvem,Apache Software Foundation
google/gsoc2012/dushyantgoyal/28001,Dushyant,Multithreaded implementation of new similarity metrics (image data) into existing framework.,Differ
google/gsoc2012/dmitrydzhus/21001,Dzhus,Haskell compiler for K ,Formal Systems Laboratory at UIUC
google/gsoc2012/gdanii/16001,Dániel Géhberger, 6LoWPAN implementation for Wiselib,The Wiselib
google/gsoc2012/thebytefactory/7001,Eamon Ford,iOS Port of CernVM Co-Pilot Agent,CERN SFT
google/gsoc2012/ecarm002/8001,ecarm002,VXQuery Built On Parallel Processing (Hyracks),Apache Software Foundation
google/gsoc2012/echo/15001,echo,Hupa evolution,Apache Software Foundation
google/gsoc2012/montik/9001,Edo,A throughput mesurment tool for B.A.T.M.A.N. ,freifunk
google/gsoc2012/nazza/14001,Edoardo Mazzaracchio,Nodeshot database and server side code refactoring,Ninux.org
google/gsoc2012/edubecks/12001,Eduardo Espinoza,Legend Module,Gephi Consortium
google/gsoc2012/edith/55002,Edyta Przymus,Orion - cooperation with contributors ,The Eclipse Foundation
google/gsoc2012/ekamperi/49002,Efstathios Kamperis,Profile and reorder execution to improve throughput of Geant4,CERN SFT
google/gsoc2012/gpf/18002,Efstratios Karatzas,Kernel level file integrity checker,FreeBSD
google/gsoc2012/ekansh/25002,Ekansh,Data Portraits,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/opossum91/8001,Elena Egorova,Redesign LSB Navigator to be more independent from particular DBMS,The Linux Foundation
google/gsoc2012/elimackenzie/23001,Eli MacKenzie,"Modularized, server-aware IRC protocol handling for Konversation",KDE
google/gsoc2012/eah13/25001,Elliott Hauser,NeXML to MIAPA Mapping & ISAtab Transformation Project Plan,National Evolutionary Synthesis Center
google/gsoc2012/elyas_bhy/18001,Elyas BHY,Applying for the IRdroid and InputAccessLib project,Komodo OpenLab
google/gsoc2012/zalman/11001,Emanuel Danci,Integrating Dynamic Sub-lists with Mailman 3.0  ,Systers
google/gsoc2012/gonyere/19001,Emily Gonyer,GNOME Clock,GNOME
google/gsoc2012/emrecelikten/26001,Emre Çelikten,Web Data Collection for Language Modelling,CMUSphinx
google/gsoc2012/enricop/20001,Enrico Papi,WPA-Enterprise wifi client support,illumos
google/gsoc2012/singron/22001,Eric Culp,Extend Plugin System,ScummVM
google/gsoc2012/emc2/8001,Eric McCorkle,EFI Boot Support for amd64/i386,FreeBSD
google/gsoc2012/emomsen/20001,Eric Momsen,Image Segmentation in GRASS GIS,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/uzix/14001,Eugene Lozovoy,Sysinst enhancements,The NetBSD Foundation
google/gsoc2012/eugenpaul/12001,Eugenpaul,Vector Layer Generalization for QGIS,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/ekyung/8001,Eun Kyung,Improve the MongoDB destination driver for syslog-ng,openSUSE
google/gsoc2012/evgeniy44/6001,Evgeniy Berlog,Improving drawing support for Apache POI HSSF module,Apache Software Foundation
google/gsoc2012/eunovm/17002,Evgeny Novikov,Advanced Source Code Instrumentation for the Linux Driver Verification Project,The Linux Foundation
google/gsoc2012/eviltosha/18001,EvilTosha,"Advanced search/filtering objects by characteristics, list views and keybindings",Stellarium
google/gsoc2012/ezio_melotti/19002,Ezio Melotti,Improve the bug tracker and the Rietveld integration,Python Software Foundation
google/gsoc2012/basher/18002,Fabien Henon,Ryzom Core: Camera animations and sound triggers,WorldForge
google/gsoc2012/fabienp/21002,Fabien Parent,Development of a graphical profiler for GNOME,GNOME
google/gsoc2012/fmmainere/30001,Facundo Mainere,Interactive & social online Smalltalk tutorial,ESUG (European Smalltalk User Group)
google/gsoc2012/fanghan/21001,Fang,BigMatrix: Super Scalable Predictive Analytics for Big Matrices in R,R project for statistical computing
google/gsoc2012/fox91/45001,"Federico ""fox"" Scrinzi",Ebuild upstream scanner enhancements,Gentoo Foundation
google/gsoc2012/fbrubacher/16001,Federico Brubacher,Machine Learning library for Storm,Twitter
google/gsoc2012/fedofan/3001,fedofan,Multi-sites uploader ,FOSSASIA
google/gsoc2012/fm/4001,Fedor Morozov,High dynamic range imaging support for nomacs,Computational Science and Engineering at TU Wien
google/gsoc2012/felipeborges/6001,Felipe Borges,Documents: Removable devices support,GNOME
google/gsoc2012/fotanus/43002,Felipe Tanus,Klint - a lint-like tool for K-framework,Formal Systems Laboratory at UIUC
google/gsoc2012/felipevieira/36002,Felipe Vieira Falcão,CLI Part 2 - Migration to Experimental &Video Uploader Continued,Freeseer recording and streaming suite
google/gsoc2012/fxrh/14001,Felix Rohrbach,OCS specific JSON parser in Attica,KDE
google/gsoc2012/felix_w/15001,Felix Wunsch,GNU Radio - DRM receiver,GNU Project
google/gsoc2012/fenekku/9001,fenekku,Shoal Project - Packaging and Deployment,Kernel.org - the Linux Kernel Organization
google/gsoc2012/kiithsa/7001,Ferdinand Majerech,OpenGL code refactor,Stellarium
google/gsoc2012/bbferka/14001,Ferenc Balint-Benczedi,Segmentation Algorithms,Point Cloud Library (PCL)
google/gsoc2012/iglesias/42013,Fernando José Iglesias García,Build Generic Structured Output Learning Framework,Shogun Machine Learning Toolbox
google/gsoc2012/feroze/37001,Feroze Naina,Implementing Hidden Service Configuration and Bandwidth Scheduling Plugins,Electronic Frontier Foundation/The Tor Project
google/gsoc2012/fidencio/41002,fidencio,libosinfo-based express installation for major OSes,GNOME
google/gsoc2012/f_petkovski/15001,Filip Petkovski,Corpus-based lexicalised feature transfer,Apertium
google/gsoc2012/pfaab/14001,flaushy,IPv6 and 6LoWPAN Integration,Measurement Lab
google/gsoc2012/flid_rus/19002,Flid,Add Dynamic Tests to the Linux Application Checker,The Linux Foundation
google/gsoc2012/flyingflo/12002,Florian Achleitner,Remote helper for Subversion,Git
google/gsoc2012/florianv/24001,Florian Voutzinos,Workflow Engine,Joomla!
google/gsoc2012/fooker/12001,fooker,Integration of Flume and ElasticSearch to analyze big log data,OpenNMS
google/gsoc2012/ruvolof/13001,Francesco,Dodgy ad-hoc network services for CernVM-FS,CERN SFT
google/gsoc2012/chicao/15001,Francisco Fernandes,A sandpainting brush for Krita ,KDE
google/gsoc2012/derderwish/12001,Frank Rühlemann,DNS-Management,freifunk
google/gsoc2012/fransiskapw/6001,Fransiska P.W. Hadiwidjana,GeoReporter Android Version,"Bloomington, IN"
google/gsoc2012/fps/22001,fschmidt,Extending the CLI (command line interface) in JGit,The Eclipse Foundation
google/gsoc2012/gsj601/11001,G. Scott Johnston,Student Statistics Viewer,Opencast Matterhorn 
google/gsoc2012/gadha007/17001,gadha007,Enhancements to sympy.physics.mechanics,SymPy
google/gsoc2012/ganeshtp92/18001,Ganeshprasad T P, Bullet Integration Into Gluon,KDE
google/gsoc2012/garybarnett101/7001,Gary Barnett,Monodoc and .NET Resource Editor Addins for Monodevelop,Mono Project
google/gsoc2012/gauravaggarwal/65002,Gaurav Aggarwal,Highly customizable and accessible web based ePub reader,Inclusive Design Institute
google/gsoc2012/samuelharden/21001,Gaurav Arora,Bi-gram Language Modeling ,Xapian Search Engine Library
google/gsoc2012/gakiwate/21001,Gautam Akiwate,l10n Tool for Standardization of Localization,Mozilla
google/gsoc2012/gautam_bajaj/69002,Gautam Bajaj,Mobile Sniffer for Android,Umit Project
google/gsoc2012/gautamn/19001,Gautam Nichlani,Personal Health Record Module Enhancement,OpenMRS
google/gsoc2012/gavingui2011/48002,Gavin Lei,Ecipse XML editor based lightweight Tapestry visual editor,Apache Software Foundation
google/gsoc2012/gayan_sukumal/16001,Gayan,Bulk file uploading widget for Resources [CLE - server/UI],Sakai Project
google/gsoc2012/sophron/13001,George Chatzisofroniou,GNU Mailman: Metrics,Python Software Foundation
google/gsoc2012/veniosg/20001,George Venios," OI File Manager redesign, code cleanup and performance enhancement.",OpenIntents
google/gsoc2012/gg7/28001,Georgi Gaydarov (gg7),portagestats: Reporting and Analysing Portage Statistics,Gentoo Foundation
google/gsoc2012/gpanterov/7001,Georgi Panterov,statsmodels nonparametric estimation,Python Software Foundation
google/gsoc2012/grdryn/18001,Gerard Ryan,Fedora JBoss Spin,The Fedora Project
google/gsoc2012/ggrekhov/13001,German Grekhov,Improvement of testing and adjusting of media content transmitting in Apache OpenMeetings conferences,Apache Software Foundation
google/gsoc2012/gihanchanuka/18001,Gihan Chanuka Karunarathne,Support Output Suitable For Use On iOS And Android Devices,DocBook Project
google/gsoc2012/gioia/9001,Gioia Ballin,Additional functionalities and improvement for PCL modules,Point Cloud Library (PCL)
google/gsoc2012/terietor/30002,Giorgos Tsiapaliwkas,Make plasmate ready for release,KDE
google/gsoc2012/gcampax/16001,Giovanni Campagna,GNOME Shell Lock Screen,GNOME
google/gsoc2012/optimizer/5001,Girish Sharma,Graphical Timeline of Events ,Mozilla
google/gsoc2012/gopal_krishnan/11001,Gopal Krishnan,Proposal to upgrade the UI of Gcalctool,GNOME
google/gsoc2012/mogi/33002,Gorjan Petrovski,Umit Network Scanner for Android Devices,Umit Project
google/gsoc2012/goutham_vvln/44002,goutham,Filtering Forms on Dashboard ,OpenMRS
google/gsoc2012/greglmiller/5001,Greg Miller,Userland Lock Profiling and Verification,FreeBSD
google/gsoc2012/gsomix/8001,gsomix,Various usability improvements,Shogun Machine Learning Toolbox
google/gsoc2012/guifre/48006,Guifre Ruiz,Enhanced AJAX Integration in ZAProxy,OWASP Foundation
google/gsoc2012/smarter/8001,Guillaume Martres,HEVC video decoder,Libav
google/gsoc2012/gmazoyer/35002,Guillaume Mazoyer,Scilab for Android,Scilab
google/gsoc2012/gpolito/18001,Guillermo Polito,Hazelnut,ESUG (European Smalltalk User Group)
google/gsoc2012/grdvnl/14001,Guru Devanla,Density Operators for Quantum Module in sympy.physics.quantum,SymPy
google/gsoc2012/gustavolibotte/23001,Gustavo Libotte,Scilab Dynamic Image Process,Scilab
google/gsoc2012/gyoergy/42002,Gyoergy Kohut,HonEeeBox User Interface,The Honeynet Project
google/gsoc2012/gykovacs/17001,György Kovács,Reimplementation of Berkeley Earth Surface Temperature software from Matlab to Open Source,Climate Code Foundation
google/gsoc2012/gabor/63002,Gábor Kövesdán,DocBook Slides 5.0,DocBook Project
google/gsoc2012/gkcn/13001,Gökcen Eraslan,Signed PDF export,LibreOffice
google/gsoc2012/halino/11001,Halino,Improve the OLSRd mDNS plug-in ,freifunk
google/gsoc2012/hm53/19001,Hamish Morrison,OpenJDK port,Haiku
google/gsoc2012/ziahamza/25001,hamza zia,Metalink/HTTP support in DownThemAll with Web Client UI for aria2 ,Metalink
google/gsoc2012/billybob/28001,Han Jiang,LUCENE-3892: Add a useful intblock postings format,Apache Software Foundation
google/gsoc2012/didihl/9001,Han Lin,'No Reply' Reminder for Thunderbird,Mozilla
google/gsoc2012/kroosec/41002,Hani Benhabiles,"Web scanning, vulnerability and exploitation specialist",Nmap Security Scanner
google/gsoc2012/hansshulo/17002,hanslo,Porting GEGL Operations,GIMP
google/gsoc2012/hare/6001,hare,MOST: Platform independent building data access using OPC Unified Architecture,Computational Science and Engineering at TU Wien
google/gsoc2012/rharishan/6001,Hareesan,Pandora Event Viewer Extension for Chrome and Firefox,Artica ST ( Pandora FMS )
google/gsoc2012/jarry1250/20001,Harry Burt,TranslateSvg: Bringing the translation revolution to Wikimedia Commons,Wikimedia Foundation
google/gsoc2012/durapix/42001,harshadura,Better Error Submission Process for FDBK Module,OpenMRS
google/gsoc2012/hasanatkazmi/27002,Hasanat Kazmi,Congestion aware multi-path routing (‘load balancer’) ,OpenFlowHub
google/gsoc2012/hasithaaravinda/20001,Hasitha Aravinda,Workflow Debugging Framework for Apache Airavata,Apache Software Foundation
google/gsoc2012/heatherbyrne/11001,Heather Byrne,"An accessibility module for visualizations using Weave, an open-source visualization platform",Portland State University
google/gsoc2012/hunterhector/27001,Hector,DBpedia Spotlight for collective linking of entities in HTML pages,DBpedia Spotlight
google/gsoc2012/heiko/23002,Heiko Strathmann,Kernel based two-sample and independence test,Shogun Machine Learning Toolbox
google/gsoc2012/heila/11001,Heila van der Merwe,jpf-android: analysing Android applications.,The Java Pathfinder Team
google/gsoc2012/herat/91002,herat,ATutor Calendar Module Extension,Inclusive Design Institute
google/gsoc2012/herm/35002,Hermann Kraus,Improve support for non-latin languages in Mapnik text rendering,OpenStreetMap
google/gsoc2012/hesham/25001,Hesham Moustafa AL-matary,RTEMS MMU/MPU support for ARM architecture ,RTEMS Project
google/gsoc2012/hezky_varon/20001,Hezky Varon,Add additional closed form and global optimizer backends to PortfolioAnalytics,R project for statistical computing
google/gsoc2012/hims92/14001,Himanshu Singh,PTPManager: A Management message client for PTP,Network Time
google/gsoc2012/himsin/12001,Himanshu Singh,Spectral Algorithm Development for Opticks,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/hiraditya/13001,hiraditya,Preprocessor analysis and refactoring,GCC - GNU Compiler Collection
google/gsoc2012/hperadin/18002,Hrvoje Peradin,Rule-based finite-state disambiguation,Apertium
google/gsoc2012/hqinnus/13001,Huang Qi Victor,Implementing TABLESAMPLE clause for PostgreSQL,PostgreSQL Project
google/gsoc2012/hugodes/10001,Hugo Des,Student Poposal for e-cidadania,e-cidadania
google/gsoc2012/hgascon/26001,Hugo Gascon,Automated Attack Community Graph Construction,The Honeynet Project
google/gsoc2012/ibayer/11001,I. Bayer,Optimizing sparse linear models using coordinate descent and strong rules.,Python Software Foundation
google/gsoc2012/iainbillett/12001,iainb,Java GUI for Libre-Office Based Android App(s),LibreOffice
google/gsoc2012/ianmcorvidae/29002,Ian McEwen,i18n,MetaBrainz Foundation Inc.
google/gsoc2012/andjelkovic/16002,Igor Andjelkovic,Trace Server,The Java Pathfinder Team
google/gsoc2012/sega/65002,Ihor Sihuta,Improving F# binding,Mono Project
google/gsoc2012/ilario/10001,Ilario Gelmetti,Improve remote monitoring and managing of OpenWrt,Ninux.org
google/gsoc2012/islamgulov/11001,Ilgiz,REST Interface for Libcloud,Apache Software Foundation
google/gsoc2012/ilimugur/18002,İlim Uğur,wget- metalink support,GNU Project
google/gsoc2012/ilkeryaz/13001,Ilker O. Yaz,Adding a pose independant 3D mesh surface segmentation algorithm into CGAL,CGAL - Computational Geometry Algorithms Library 
google/gsoc2012/selimcan/17001,Ilnar Salimzyanov,Apertium-kaz-tat: machine translation between Kazakh and Tatar,Apertium
google/gsoc2012/idryomov/12002,Ilya Dryomov,Implement device profiles for Btrfs filesystem,The Linux Foundation
google/gsoc2012/coacher/21001,Ilya Tumaykin,Faster elliptic curve scalar multiplication.,GNU Project
google/gsoc2012/inukshuk/10001,Inukshuk,CiteProc-Ruby,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/irnuk/15001,Irina Grosu,Mayhem Modules,The Outercurve Foundation
google/gsoc2012/isaacbw/10001,Isaac Wagner,Graphical Node Editor,GIMP
google/gsoc2012/ishanthilina/41002,Ishan Thilina,Port Creative Commons LibreOffice (OpenOffice) plugin to Python,Creative Commons
google/gsoc2012/ishara_premadasa/23001,Ishara Premadasa,HTML Form Entry Module Enhancements,OpenMRS
google/gsoc2012/islamismailov/22001,Islam Ismailov,A program to compute probabilities of ranked gene tree topologies in species trees,National Evolutionary Synthesis Center
google/gsoc2012/menopia/48002,Islam Wazery,Import Tool Revamp in digiKam,KDE
google/gsoc2012/istemi_bahceci/26001,Istemi Bahceci,IDEA-25: SBGN-Complaint Views for Cancer Genomics Networks,National Resource for Network Biology (NRNB)
google/gsoc2012/isuru89/18001,Isuru Madushanka Weerarathna,Email reminders for calendar events,Moodle
google/gsoc2012/ivcha/4001,Ivan Kuraj,Smart Quick Fixes for Scala IDE for Eclipse,Scala Team
google/gsoc2012/lopina/2001,Ivan Oreskovic,Porting and extending the Parallel Collections for the Android platform,Scala Team
google/gsoc2012/ivansichmann/24002,Ivan Sichmann Freitas,32 bit API for 64 bit kernels,DragonFly BSD
google/gsoc2012/ivucica/11001,Ivan Vučica,GNUstep: Implementation of basic CoreAnimation and UIKit-compatible functionality,GNU Project
google/gsoc2012/iyo/40003,Izidor Matušov,Collaborative Getting Things GNOME!,GNOME
google/gsoc2012/nottheoilrig/13001,Jack Bates,Apache Traffic Server cache hits for download mirrors,Metalink
google/gsoc2012/bartel/3001,Jacob Bartel,"Distributed Systems, Data Mining, and Data Presentation with M-Labs",Measurement Lab
google/gsoc2012/jacobdawid/16001,Jacob Dawid,Improving the GUI of GNU Octave,GNU Project
google/gsoc2012/walke434/39001,Jacob Walker,Implementing Gaussian Process Regession in Shogun,Shogun Machine Learning Toolbox
google/gsoc2012/jaiditya/17001,Jaiditya Mathur,Improving themes of MoinMoin2,MoinMoin Wiki
google/gsoc2012/mjainit/12001,Jainit Purohit,Django Information Composition Social Network,Interface Ecology Lab @ Texas A&M University
google/gsoc2012/jakefried/17001,Jake Fried,Understanding Complex Pathways using User Data and Web Services in PathVisio,National Resource for Network Biology (NRNB)
google/gsoc2012/jakimushka/20001,jakimushka,Testing framework for ScummVM,ScummVM
google/gsoc2012/jak/10001,Jakob Kristoferitsch,Improve Developer Ergonomics,SilverStripe
google/gsoc2012/jakub_d/20002,Jakub Dunia,Automated Visual Verification,JBoss Community
google/gsoc2012/jceel/42003,Jakub Klama,FreeBSD/arm and FDT cleanup,FreeBSD
google/gsoc2012/jnarloch/41002,Jakub Narloch,Extend Arquillian to support Spring testing (beans and MVC controllers),JBoss Community
google/gsoc2012/jamesmrogers/45001,James Rogers,Feature Creeper and Bug Wrangler,Nmap Security Scanner
google/gsoc2012/karolovbrat/13001,Jan,Parallelization of the Particles-In-Cell simulator OpenPixi,Computational Science and Engineering at TU Wien
google/gsoc2012/jeeb/6001,Jan Ekström,LGPL Ut Video encoder,Libav
google/gsoc2012/novotnyjan/7001,Jan Novotny,Networking framework providing EventMachine compatible layer,The JRuby Project
google/gsoc2012/poeschko/15001,Jan Pöschko,Lattices,Sage Mathematical Software System
google/gsoc2012/janschejbal/16001,Jan Schejbal,Improvements to Vespucci,OpenStreetMap
google/gsoc2012/janek_warchol/18001,Janek Warchoł,LilyPond - improve Lyrics support,GNU Project
google/gsoc2012/jjeising/15001,Jannes Jeising,"OpenPrinting web site: Enhancements for printer and driver administration, in depth security review",The Linux Foundation
google/gsoc2012/jashwanth/9001,Jashwanth Reddy,LAPACK bindings for Parrot-Linear-Algebra,Parrot Foundation
google/gsoc2012/jasinthad/11001,Jasintha Kapilajith Dasanayake,OSGi Remote Services Testing framework  for ECF,The Eclipse Foundation
google/gsoc2012/jasonhrmeier/3001,Jason Meier,Templating for AContent,Inclusive Design Institute
google/gsoc2012/jwilkins/42002,Jason Wilkins,Viewport FX,Blender Foundation
google/gsoc2012/jaspal/12001,Jaspal,Template based initialization of Amazon's EC2 instances ,"Dept. of Biomedical Informatics, Emory University"
google/gsoc2012/javi_p_t/10006,JAVIERGOMEZ,Language Installation and update tool for Joomla! ,Joomla!
google/gsoc2012/jayrambhia/5001,Jay Rambhia,Automatic segregation of conveyor belt items using SimpleCV,SimpleCV
google/gsoc2012/jayant/23001,Jayant Gupta,Diagram Layout in eTrice with KIELER,The Eclipse Foundation
google/gsoc2012/wicker/10001,Jen Hanni,AVT Open Source Quadcopter Platform,Portland State University
google/gsoc2012/jpapon/5001,Jeremie Papon,Modular Interactive Application for Static and Streaming Point Cloud Data,Point Cloud Library (PCL)
google/gsoc2012/jeremyunc/8001,Jeremy,Web-based GISTEMP Map Viewer,Climate Code Foundation
google/gsoc2012/jbanks/7001,Jeremy Banks,Slide Drive Improvements (Mozilla),Mozilla
google/gsoc2012/kostko/8001,Jernej Kos,Convert core nodewatcher components to new modular backend,freifunk
google/gsoc2012/jerzyredlarski/16001,Jerzy Redlarski,Real-time raytracer written functionally in Scala,Scala Team
google/gsoc2012/jesse_h/22001,Jesse H.,Improve BSD-licensed text processing tools.,FreeBSD
google/gsoc2012/jzelenkov/17001,Jevgeni Zelenkov,"Implement a Plugin to add ""Undo"" functionality to Forge",JBoss Community
google/gsoc2012/jibeshpatra/26002,Jibesh Patra,Upload and View or Download Image or File in HTMLForm,OpenMRS
google/gsoc2012/jigar/11001,Jigar,SUPPORT FOR PIVOT TABLES IN CALLIGRA SHEETS,KDE
google/gsoc2012/jinfu/18001,Jinfu,Integrate a New Shortest Path Algorithm to pgRouting,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/jingconanwang/17001,Jing Conan Wang,network malware simulation,The Honeynet Project
google/gsoc2012/jinghuang/27001,Jing Huang,Cross Container Support,Gentoo Foundation
google/gsoc2012/sosuminjok/15001,Jinwoo Lee,Particle Filter on GPU,Point Cloud Library (PCL)
google/gsoc2012/jitenmt/6001,Jiten Thakkar,Networking Dashboard,Mozilla
google/gsoc2012/joda/18001,Joachim Daiber,A database-backed core system with an  improved model for estimation of annotation probability,DBpedia Spotlight
google/gsoc2012/lvwrbr/28002,Joao Moreira,nmap integration as a scanning engine,PacketFence
google/gsoc2012/jayd3e/7003,Joe Dallago,Improve Windows Support for the Pyramid Web Framework,Python Software Foundation
google/gsoc2012/jsimon184/62002,Joe Simon,Color-Managed Printing for Krita,OpenICC
google/gsoc2012/auska1714/6001,Joel Espunya,Guifi.net integration for qMp system,freifunk
